conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
33,43008,73728,896,128, ,0.050176,0.589824, ,13.714285714285714,2.0, ,3136,9216,4,1, ,48,2450,451584,0.2673611111111111,0.08886054421768708,120736,40128, ,451584.0,120736.0,487804.8, ,225792.0,60368.0,243902.4, ,112896.0,40128.0,124934.4, ,56448.0,40128.0,68486.4, , ,0.2673611111111111,0.2673611111111111,0.3554421768707483,0.7108843537414966, ,0.08226241316198611,0.16452482632397222,0.3211925618564623,0.5859265489206616
34,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
35,50176,49152,832,192, ,0.200704,0.262144, ,4.0,3.0, ,5120,16384,1,3, ,36,2782,200704,0.5146285076530612,0.09821428571428571,103288,19712, ,200704.0,103288.0,231690.4, ,100352.0,51644.0,115845.2, ,50176.0,25822.0,57922.6, ,25088.0,19712.0,31001.6, , ,0.5146285076530612,0.5146285076530612,0.5146285076530612,0.7857142857142857, ,0.08507905377175748,0.17015810754351496,0.3403162150870299,0.6358381502890174
36,43008,73728,896,128, ,0.050176,0.589824, ,13.714285714285714,2.0, ,3136,9216,4,1, ,48,2450,451584,0.2673611111111111,0.08886054421768708,120736,40128, ,451584.0,120736.0,487804.8, ,225792.0,60368.0,243902.4, ,112896.0,40128.0,124934.4, ,56448.0,40128.0,68486.4, , ,0.2673611111111111,0.2673611111111111,0.3554421768707483,0.7108843537414966, ,0.08226241316198611,0.16452482632397222,0.3211925618564623,0.5859265489206616
37,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
38,50176,49152,832,192, ,0.200704,0.262144, ,4.0,3.0, ,5120,16384,1,3, ,36,2782,200704,0.5146285076530612,0.09821428571428571,103288,19712, ,200704.0,103288.0,231690.4, ,100352.0,51644.0,115845.2, ,50176.0,25822.0,57922.6, ,25088.0,19712.0,31001.6, , ,0.5146285076530612,0.5146285076530612,0.5146285076530612,0.7857142857142857, ,0.08507905377175748,0.17015810754351496,0.3403162150870299,0.6358381502890174
39,43008,73728,896,128, ,0.050176,0.589824, ,13.714285714285714,2.0, ,3136,9216,4,1, ,48,2450,451584,0.2673611111111111,0.08886054421768708,120736,40128, ,451584.0,120736.0,487804.8, ,225792.0,60368.0,243902.4, ,112896.0,40128.0,124934.4, ,56448.0,40128.0,68486.4, , ,0.2673611111111111,0.2673611111111111,0.3554421768707483,0.7108843537414966, ,0.08226241316198611,0.16452482632397222,0.3211925618564623,0.5859265489206616
40,34496,49152,3328,768, ,0.050176,0.262144, ,11.0,3.0, ,1280,16384,1,3, ,33,2635,200704,0.49574996014030615,0.14795918367346939,99499,29696, ,200704.0,99499.0,230553.7, ,100352.0,49749.5,115276.85, ,50176.0,29696.0,59084.8, ,25088.0,29696.0,37222.4, , ,0.49574996014030615,0.49574996014030615,0.5918367346938775,1.183673469387755, ,0.12880296434192987,0.25760592868385973,0.5025996533795494,0.7977991746905089
41,50176,49152,832,192, ,0.200704,0.262144, ,4.0,3.0, ,5120,16384,1,3, ,36,2782,200704,0.5146285076530612,0.09821428571428571,103288,19712, ,200704.0,103288.0,231690.4, ,100352.0,51644.0,115845.2, ,50176.0,25822.0,57922.6, ,25088.0,19712.0,31001.6, , ,0.5146285076530612,0.5146285076530612,0.5146285076530612,0.7857142857142857, ,0.08507905377175748,0.17015810754351496,0.3403162150870299,0.6358381502890174
42,43008,73728,896,128, ,0.050176,0.589824, ,13.714285714285714,2.0, ,3136,9216,4,1, ,48,2450,451584,0.2673611111111111,0.08886054421768708,120736,40128, ,451584.0,120736.0,487804.8, ,225792.0,60368.0,243902.4, ,112896.0,40128.0,124934.4, ,56448.0,40128.0,68486.4, , ,0.2673611111111111,0.2673611111111111,0.3554421768707483,0.7108843537414966, ,0.08226241316198611,0.16452482632397222,0.3211925618564623,0.5859265489206616
