conv number,total A load,total B load,total D load,D from dram, ,A size (MB),B size (MB), ,reuse A,reuse B, ,inner tile A size,inner tile B size,tile A outer loop factor,tile B outer loop factor, ,number of tiles,load per tile,ideal runtime,ideal L2 BW usage,ideal DRAM BW usage,total memory transaction,from dram, ,1 core compute,1 core memory,1 core prediction, ,2 core compute,2 core memory,2 core prediction, ,4 core compute,4 core memory,4 core prediction, ,8 core compute,8 core memory,8 core prediction, , ,1 core mem/compute,2 core mem/compute,4 core mem/compute,8 core mem/compute, ,1 core dram bw predict,2 core dram bw predict,4 core dram bw predict,8 core dram bw predict
33,6272,6144,208,48, ,0.100352,0.032768, ,1.0,3.0, ,2560,2048,1,3, ,6,2104,25088,0.5344387755102041,0.3647959183673469,13408,9152, ,25088.0,13408.0,29110.4, ,12544.0,9152.0,15289.6, ,6272.0,9152.0,11033.6, ,3136.0,9152.0,10092.8, , ,0.5344387755102041,0.7295918367346939,1.4591836734693877,2.9183673469387754, ,0.3143893591293833,0.5985768103809125,0.8294663573085846,0.9067850348763475
34,12544,10752,364,84, ,0.100352,0.057344, ,2.0,3.0, ,2560,3584,1,3, ,12,1971,43904,0.5699708454810496,0.2576530612244898,25024,11312, ,43904.0,25024.0,51411.2, ,21952.0,12512.0,25705.6, ,10976.0,11312.0,14604.8, ,5488.0,11312.0,12958.4, , ,0.5699708454810496,0.5699708454810496,1.030612244897959,2.061224489795918, ,0.22002987675837174,0.4400597535167435,0.7745398773006136,0.8729472774416595
35,12544,13824,468,108, ,0.100352,0.073728, ,2.0,3.0, ,2560,4608,1,3, ,12,2236,56448,0.5065901360544217,0.22590702947845806,28596,12752, ,56448.0,28596.0,65026.8, ,28224.0,14298.0,32513.4, ,14112.0,12752.0,17937.6, ,7056.0,12752.0,14868.8, , ,0.5065901360544217,0.5065901360544217,0.9036281179138322,1.8072562358276645, ,0.19610376029575496,0.39220752059150993,0.710908928730711,0.8576347788658131
36,30240,46656,1008,144, ,0.028224,0.373248, ,17.142857142857142,2.0, ,1764,5184,5,1, ,30,2596,285768,0.28487444360460235,0.0944822373393802,81408,27000, ,285768.0,81408.0,310190.4, ,142884.0,40704.0,155095.2, ,71442.0,27000.0,79542.0, ,35721.0,27000.0,43821.0, , ,0.28487444360460235,0.28487444360460235,0.3779289493575208,0.7558578987150416, ,0.0870433127524256,0.1740866255048512,0.3394433129667346,0.6161429451632778
37,6272,2048,104,24, ,0.100352,0.016384, ,1.0,2.0, ,2560,1024,1,3, ,4,2106,12544,0.7028061224489796,0.6147959183673469,8816,7712, ,12544.0,8816.0,15188.8, ,6272.0,7712.0,9593.6, ,3136.0,7712.0,8652.8, ,1568.0,7712.0,8182.4, , ,0.7028061224489796,1.2295918367346939,2.4591836734693877,4.918367346938775, ,0.5077425471399979,0.8038692461641094,0.8912721893491125,0.9425107547907705
38,384,2304,224,32, ,0.006272,0.018432, ,0.9795918367346939,2.0, ,392,1152,1,1, ,2,1456,14112,0.2619047619047619,0.13945578231292516,3696,1968, ,14112.0,3696.0,15220.8, ,7056.0,1968.0,7646.4, ,3528.0,1968.0,4118.4, ,1764.0,1968.0,2497.2, , ,0.2619047619047619,0.2789115646258503,0.5578231292517006,1.1156462585034013, ,0.1292967518133081,0.2573760200878845,0.4778554778554779,0.7880826525708794
39,6272,6144,208,48, ,0.100352,0.032768, ,1.0,3.0, ,2560,2048,1,3, ,6,2104,25088,0.5344387755102041,0.3647959183673469,13408,9152, ,25088.0,13408.0,29110.4, ,12544.0,9152.0,15289.6, ,6272.0,9152.0,11033.6, ,3136.0,9152.0,10092.8, , ,0.5344387755102041,0.7295918367346939,1.4591836734693877,2.9183673469387754, ,0.3143893591293833,0.5985768103809125,0.8294663573085846,0.9067850348763475
40,25872,25344,832,192, ,0.103488,0.135168, ,4.0,3.0, ,2640,8448,1,3, ,24,2168,103488,0.5330859616573902,0.1762909709338281,55168,18244, ,103488.0,55168.0,120038.4, ,51744.0,27584.0,60019.2, ,25872.0,18244.0,31345.2, ,12936.0,18244.0,22124.8, , ,0.5330859616573902,0.5330859616573902,0.7051638837353124,1.4103277674706247, ,0.15198469822989977,0.30396939645979953,0.5820348889144111,0.8245950245877929
41,12936,15840,520,120, ,0.103488,0.08448, ,2.0,3.0, ,2640,5280,1,3, ,12,2441,64680,0.48317872603586887,0.21379097093382807,31252,13828, ,64680.0,31252.0,74055.6, ,32340.0,15626.0,37027.8, ,16170.0,13828.0,20318.4, ,8085.0,13828.0,16253.5, , ,0.48317872603586887,0.48317872603586887,0.8551638837353123,1.7103277674706245, ,0.1867245691075354,0.3734491382150708,0.6805653988503031,0.8507706032546836
42,33600,57600,1120,160, ,0.03136,0.4608, ,17.142857142857142,2.0, ,1960,5760,5,1, ,30,3077,352800,0.2727607709750567,0.09319727891156462,96230,32880, ,352800.0,96230.0,381669.0, ,176400.0,48115.0,190834.5, ,88200.0,32880.0,98064.0, ,44100.0,32880.0,53964.0, , ,0.2727607709750567,0.2727607709750567,0.3727891156462585,0.745578231292517, ,0.08614794494706146,0.17229588989412292,0.3352912383749388,0.6092950856126307
43,6468,2112,104,24, ,0.103488,0.016896, ,1.0,2.0, ,2640,1056,1,3, ,4,2171,12936,0.7016079158936301,0.6137909709338281,9076,7940, ,12936.0,9076.0,15658.8, ,6468.0,7940.0,9880.4, ,3234.0,7940.0,8910.2, ,1617.0,7940.0,8425.1, , ,0.7016079158936301,1.2275819418676561,2.4551638837353122,4.9103277674706245, ,0.5070631210565305,0.8036111898303713,0.891113555251285,0.9424220484029863
